path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.diagnosisOd.mainDiagnosis.date,string,yes,no,,date,"Date of the main diagnosis. If the day is unknown, use the 15th of the month.",condition_occurrence,condition_source_value/condition_source_concept_id + condition_concept_id,ICD-10-GM (source) -> SNOMED (standard),ICD-10-GM coding; .date -> condition_start_date,DRAFT,
case.diagnosisOd.mainDiagnosis.display,string,no,no,,,Representation defined by the system,condition_occurrence,condition_source_value/condition_source_concept_id + condition_concept_id,ICD-10-GM (source) -> SNOMED (standard),ICD-10-GM coding; .date -> condition_start_date,DRAFT,
case.diagnosisOd.mainDiagnosis.system,string,yes,no,,uri,Identity of the terminology system,condition_occurrence,condition_source_value/condition_source_concept_id + condition_concept_id,ICD-10-GM (source) -> SNOMED (standard),ICD-10-GM coding; .date -> condition_start_date,DRAFT,
case.diagnosisOd.mainDiagnosis.version,string,yes,no,,,Version of the system - if relevant,condition_occurrence,condition_source_value/condition_source_concept_id + condition_concept_id,ICD-10-GM (source) -> SNOMED (standard),ICD-10-GM coding; .date -> condition_start_date,DRAFT,
case.diagnosisOd.tnmClassifications[].code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
case.diagnosisOd.tnmClassifications[].display,string,yes,yes,,,Representation defined by the system,,,,,TODO,
case.diagnosisOd.tnmClassifications[].system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
case.diagnosisOd.tnmClassifications[].text,string,no,yes,,,"Optional shorthand notation for quick reference, e.g., 'cT1a'.",,,,,TODO,
case.diagnosisOd.tnmClassifications[].version,string,yes,yes,,,Version of the system - if relevant,,,,,TODO,
case.diagnosisOd.topography.code,string,yes,no,,,Symbol in syntax defined by the system,,,,,TODO,
case.diagnosisOd.topography.display,string,no,no,,,Representation defined by the system,,,,,TODO,
case.diagnosisOd.topography.system,string,yes,no,,uri,Identity of the terminology system,,,,,TODO,
case.diagnosisOd.topography.version,string,yes,no,,,Version of the system - if relevant,,,,,TODO,
case.priorDiagnostics[].complexVariants[],string,no,yes,,,,,,,,TODO,
case.priorDiagnostics[].date,string,no,yes,,date,,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].dnaChange,string,yes,yes,,,HGVSc (Change at DNA Level). e.g. c.173_187del,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].gene.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].gene.display,string,yes,yes,,,Representation defined by the system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].gene.system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
case.priorDiagnostics[].simpleVariants[].gene.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
